"ID","Titulo","Tema","Fecha","RespuestaSAT","Archivo","MinutaOrigen"
"1","Planteamiento: QUEJA PETICION: Que se aclare en la ficha técnica 169/CF que, dentro de los requisitos, se mencione la obligación de presentar de manera anticipada la declaración del ejercicio en que se lleve a cabo la suspensión de actividades, o bien que se de (sic) la posibilidad de que la presentación de la declaración anual de personas morales pueda ser a través de la clave CIEC, o bien que la firma electrónica no quede deshabilitada al momento de presentar el aviso de suspensión de actividades. SOLUCION PROPUESTA Que al momento de presentar el aviso de suspensión de actividades de personas morales, cumpliendo con todos los requisitos previstos en la ficha de tramite 169/CFF contenida en el anexo 1-A de la resolución miscelánea fiscal, la firma electrónica no quede deshabilitada, con la finalidad de que se pueda presentar la declaración anual correspondiente al ejercicio en que se de (sic) la suspensión de actividades.”","Varios","2024","Conforme a lo establecido en la Regla 2.5.10., cuarto párrafo, de la Resolución Miscelánea Fiscal, se advierte que a partir de que surta efectos el aviso de suspensión de actividades, se considerará que el contribuyente solicita que se dejen sin efectos los certificados de sello digital que utilice para la expedición de Comprobantes Fiscales por Internet, por lo que se dejarán sin efectos los CSD que tenga activos; asimismo, durante el periodo de suspensión no podrá solicitar nuevos CSD; sin embargo, la mencionada regla no hace referencia a que se dejará sin efectos el certificado de firma electrónica o e.firma del contribuyente, por lo que, contrario a lo señalado en el planteamiento, se encuentra en posibilidades de presentar su Declaración anual utilizando su e.firma. COPARMEX","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"2","Planteamiento: “Trabajadores con salario mínimo. Como resultado de que la tabla del Subsidio para el Empleo no ha sido actualizada, este beneficio ha dejado de cumplir su objetivo. Los incrementos al salario mínimo que se han dado en los últimos años han dado como resultado que en 2023 tanto los salarios mínimos de la zona libre de la frontera norte, como los del resto del país, un Impuesto Sobre la Renta a cargo de los trabajadores. Deberá tomarse en cuenta que la Ley del Impuesto Sobre la Renta establece que no deberá efectuarse la retención del impuesto a aquéllas personas que únicamente perciban en el mes un salario mínimo general del área geográfica que les corresponda, por lo que habrá que estar pendientes de que los proveedores de los programas de nómina hagan los cambios correspondientes para que en el caso de dichos trabajadores, no se les determine impuesto a retener, que tampoco tiene obligación de enterar el patrón. El problema resulta en cómo presentar el CFDI de nómina, pues la mecánica es realizar el cálculo con la tarifa del artículo 96 y acreditar el subsidio, pero la información que se generará es que hubo impuesto a cargo que el patrón no enteró, con las posibles consecuencias de emisión de diferencias por la autoridad fiscal. Solicitamos atentamente, que se indique, por ejemplo, que los programas de nómina permitan un crédito del importe del ISR a cargo del trabajador de salario mínimo. Por otra parte, si el trabajador percibe unos centavos o pesos más que el salario mínimo, habría impuesto a su cargo y al retenerlo, su neto será menor que el salario mínimo, lo cual no está regulado en la Ley del Impuesto Sobre la Renta o su reglamento, por lo que es urgente que las autoridades fiscales emitieran algunas reglas al respecto. Adicionalmente, algunos trabajadores con salarios mínimos profesionales resultan con un ISR a cargo que hace que su percepción neta sea menor al salario mínimo general, ¿podría la autoridad fiscal emitir algunas consideraciones sobre este tema?”","Varios","2024","En primera instancia, es importante señalar que efectivamente el artículo 96 de la LISR, exenta de la retención del impuesto a cargo a las personas físicas cuyo ingreso sea el de un salario mínimo de acuerdo a su área geográfica del contribuyente, por lo anterior, se está analizando la problemática para en su caso modificar los sistemas y que dicho impuesto a cargo no sea considerado como un impuesto exento. Ahora bien, en relación al segundo caso, es importante mencionar que la autoridad fiscal en el ejercicio de sus atribuciones únicamente puede realizar los actos que se encuentran previstos en las leyes que regulan su actividad, y bajo esa tesitura, si bien es cierto, las reglas de carácter general tienen como finalidad dar beneficios a los contribuyentes para el cumplimiento de sus obligaciones fiscales, también lo es que, dichas facilidades puedan ser mayores a los que se encuentran establecidas en las leyes de naturaleza fiscal, derivado de lo anterior es que, esta autoridad no puede otorgar beneficios a los contribuyentes que ganen una cantidad mayor al salario mínimo. Cabe señalar que, el Servicio de Administración Tributaria no se encuentra facultado para modificar la legislación fiscal, toda vez que sólo le compete la responsabilidad de la aplicación de las disposiciones, motivo por el cual dichas adecuaciones deberán de hacerse a través de un proceso legislativo, es decir a través de una reforma fiscal a la Ley de Impuesto sobre la Renta., destacando que de conformidad con el artículo 18-A fracciones I y II del Reglamento Interior de la Secretaría de Hacienda y Crédito Público (RISHCP), la Dirección General de Política de Ingresos Tributarios tiene, entre otras atribuciones, la de proponer para aprobación superior, la política impositiva, de coordinación fiscal, de estímulos fiscales, de comercio exterior y aduanera, en congruencia con las políticas de la hacienda pública, económica y social del país, así como la de evaluar el impacto recaudatorio de la política impositiva. CONCAMIN","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"3","Planteamiento: “Solicitud de modificación o incorporación de socios, accionistas, asociados y demás personas que forman parte de la estructura orgánica de una persona moral. Algunos contribuyentes nos han manifestado que de acuerdo a lo establecido en la ficha de trámite 295/CFF, “Solicitud de modificación o incorporación de socios, accionistas, asociados y demás personas que forman parte de la estructura orgánica de una persona moral, así como de aquéllas que tengan control, influencia significativa o poder de mando” el sistema del SAT cambio de la versión 2.0 a la nueva versión 2.0.7 y esto generó algunas dificultades para lograr la presentación del mismo, ya que en la guía de llenado para el aviso de Relaciones de Socios, Accionistas, Asociados y Representantes Legales publicada en Enero del año 2023, no especifica que el llenado del porcentaje de participación debe redondearse a enteros y no hasta diezmilésimos, como se señalaba en la versión 2.0, se sugiere se haga la especificación correspondiente en la versión actual, ya que, algunos contribuyentes desconocen que si el porcentaje de participación accionaria es menor al 0.5% deben declarar 0% (cero) y si es mayor al 0.5% debe declarar 1%, además se solicita incluir un ejemplo claro tal cual estaba en la versión anterior.”","Varios","2024","En relación a lo planteado, se indica que el aplicativo de socios, permite colocar cantidades menores a 0.5, sin necesidad de llevar a cabo redondeo alguno. Se anexa ejemplo: Por otro lado, se considerará la sugerencia de incluir la orientación en la guía de llenado. COPARMEX","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"4","Planteamiento: “Solicitud de CFDI para bien inmueble. Si estás realizando una construcción de un bien inmueble para vender por ejemplo al solicitar el CFDI se pide el uso de adquisición de mercancías para llevarlo al costo pero cuando se realizan erogaciones menores que por obligación deben ir al costo el CFDI no se puede solicitar como adquisición de mercancías solo se puede pedir con uso de gastos en general, sin embargo, es un gasto no deducible en el ejercicio sino hasta que se venda el edificio como se realiza esto ya que son gastos que se van al costo pero el SAT no se entera hasta una revisión”","Varios","2024","Respecto al planteamiento que antecede, es importante considerar que el UsoCFDI, es un campo requerido donde se debe de registrar la clave del uso que se le dará al CFDI por parte del receptor. La clave que solicite el receptor (física o moral) que se registre en este campo, debe corresponder con los valores indicados en el catálogo c_UsoCFDI y el valor registrado en el campo RegimenFiscalReceptor, debe corresponder a un valor de la columna Régimen Fiscal Receptor del catálogo c_UsoCFDI. De lo anterior, se puede concluir que la clave a registrar en este campo deberá de ser una de las listadas dentro del catálogo c_UsoCFDI, la cual deberá ser acorde al tipo del régimen del contribuyente (física o moral) que reciba el CFDI. CONCAMIN","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"5","Planteamiento: “Aviso de Accionistas. Algunos contribuyentes que están obligados a dictaminar sus Estados Financieros por un Contador Público Certificado de conformidad con el Artículo 32-A del CFF, solicitan que se les exima de la obligación de presentar el Aviso de Accionistas a que se refiere el inciso B fracción VI del artículo 27 del Código Fiscal de la Federación, ya que en dicho dictamen en el anexo 14 Socios o Accionistas que tuvieron acciones o partes sociales en el ejercicio fiscal, se proporciona la información del porcentaje de participación accionaria de los socios o accionistas, resultando una duplicidad de información.”","Varios","2024","Respecto al planteamiento, se comenta que la obligación para las personas morales de presentar un aviso en el Registro Federal de Contribuyentes cada vez que realicen alguna modificación o incorporación de socios o accionistas, se encuentra prevista en el artículo 27, apartado A, fracción II, y apartado B, fracción VI del Código Fiscal de la Federación vigente. En este sentido, la regla 2.4.15. Modificación o incorporación de información de socios o accionistas de la Resolución Miscelánea Fiscal vigente, señala que para los efectos del artículo antes mencionado, las personas morales deberán presentar solicitud ante el RFC en la cual informarán el nombre y la clave del RFC de los socios, accionistas o de las personas que tengan control, influencia significativa o poder de mando y de los representantes comunes de las acciones que ha emitido la persona moral cada vez que se realice una modificación o incorporación, conforme a la ficha de trámite 295/CFF “Solicitud de modificación o incorporación de socios, accionistas, asociados y demás personas que forman parte de la estructura orgánica de una persona moral, así como de aquellas que tengan control, influencia significativa o poder de mando”, contenida en el Anexo 1-A, y atendiendo a lo señalado en la propia regla. Por otra parte, el artículo 32-A del Código Fiscal de la Federación, establece la obligación de dictaminar sus estados financieros a las personas morales que tributen en términos del Título II de la Ley del ISR, que en el último ejercicio fiscal inmediato anterior declarado hayan consignado en sus declaraciones normales ingresos acumulables para efectos del impuesto sobre la renta iguales o superiores a un monto equivalente a $1,650,490,600.00, así como aquéllas que al cierre del ejercicio fiscal inmediato anterior tengan acciones colocadas entre el gran público inversionista, en bolsa de valores, lo anterior con base a la información solicitada en el Anexo 16 de la RMF vigente. Bajo este contexto, la información que se presenta ante el SAT sobre los socios, accionistas, asociados y demás personas que forman parte de la estructura orgánica de una persona moral, atiende a disposiciones completamente diferentes, por lo que el hecho de presentar dictámenes fiscales con la información de los socios, no exime del cumplimiento de la obligación a que se refiere el artículo 27, Apartado A, fracción II, y Apartado B, fracción VI del CFF, así como la regla 2.4.15 de la RMF vigente, ya que no se acatan los requisitos y tiempos establecidos en la ficha de trámite 295/CFF señalada con antelación. FNAMCP","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"6","Planteamiento: “MACROFIEL. HECHOS DEL PLANTEAMIENTO Las oficinas físicas como la oficina virtual que el SAT tiene en la WEB han (sic) sido superada por la afluencia de contribuyentes que pretenden cumplir con todas las regulaciones administrativas que la legislación fiscal ha impuesto de manera obligatoria. Antes de buscar una solución técnica en beneficio de los contribuyentes, los servidores públicos de dicha dependencia han decidido inhabilitar secciones en su portal web en perjuicio de los usuarios tratando de agilizar los tramites (sic) de los registros de la “firma electrónica”. La autoridad está obligada a buscar soluciones acordes al tamaño de su responsabilidad y que redunden en beneficio de aquellos que cumplen con el mandato constitucional de contribuir al gasto público y tener presente que la confianza debe prevalecer antes de la duda. Para lo anterior esta Comisión de Síndicos pone a su consideración el siguiente proyecto para agilizar el trámite de la entrega de los archivos de la firma electrónica sin tener la necesidad de afectar a los contribuyentes inhabilitando secciones de su portal en la WEB: Es importante tener en cuenta que con el registro el registro electrónico de los CFDI de nómina sumado con los registros de los contribuyentes personas físicas que tributan bajo otros capítulos del título IV de la Ley del Impuesto Sobre la Renta, el SAT tiene la base de datos de “Registro Federal de Contribuyentes” mas (sic) grande en la historia de nuestro país. “Manual de confianza para obtener la FIEL: (WEB-FIEL) A.- Crear un ingreso para el trámite “WEB-FIEL” B.- Copiar la base de datos RFC de personas físicas C.- Habilitar un registro de “tramite de confianza de la WEB-FIEL” D.- Establecer el apartado de requisitos a cumplir E.- Dar acceso al archivo individual de “Anexo de requisitos” e, (sic) PDF o JPG E-1.- Copia de documento oficial en que conste su RFC (CFDI de nómina, copia de un formulario DyP) E-2.- Copia por ambos lados de su credencial de elector E-3.- Constancia de la CURP E-4.- Comprobante de domicilio E-5.- Copia de su acta de nacimiento E-6.- En su caso copia de su constancia de inscripción ante el SAT E-7.- Auto foto o “Selfi” de su rostro. E-8.-Correo electrónico para recibir los archivos temporales de la Firma electrónica con clave provisional que deber cambiar inmediatamente que abra dicho correo. E-9.- Carta Compromiso firmada por el contribuyente (Debidamente escaneada y bajo formato emitido por la autoridad) de tramitar cita en un plazo no mayor a 90 días hábiles para acudir personalmente a las oficinas del SAT a ratificar los documentos y registrar sus datos biométricos y aceptar que en caso de no acudir en dicho plazo, su firma electrónica temporal será cancelada y autoriza al SAT a registrar ese incumplimiento como causa de “opinión negativa de cumplimiento” E-10.- Manifestación de “Bajo protesta de decir verdad que los documentos son “copia fiel” de los originales. (bajo formato emitido por la autoridad). SOLUCION PROPUESTA El SAT tiene la capacidad técnica para adaptar su “ROBOT” y establecer este trámite digital de tal manera que verifique electrónicamente los datos de identificación de los documentos anexados a fin de emitir en cuestión de minutos la “Firma electrónica temporal”","Varios","2024","Agradecemos sus comentarios, mismos que serán valorados y evaluados a fin de tener una mejora en la experiencia del contribuyente al acercarse a la autoridad fiscal. No obstante, de conformidad con el artículo 7 de la Ley de Firma Electrónica Avanzada se advierte que ésta producirá los mismos efectos que los presentados con firma autógrafa y, en consecuencia, tendrán el mismo valor probatorio, por lo que, para que la e.firma surta efectos legales durante el trámite de generación de dicho certificado se toman los datos de identidad del contribuyente, consistentes en: huellas digitales, fotografía de frente, fotografía del iris, firma y digitalización de los documentos originales, motivo por el cual es indispensable que en la generación del certificado de e.firma por primera vez debe ser de manera presencial, esto para autenticar al contribuyente y tener plena certeza de su identidad. Es importante señalar que para la renovación del certificado de e.firma para personas físicas, dicho trámite se podrá realizar a través del portal del SAT si está próximo a vencer o ha transcurrido hasta un año de haber perdido su vigencia. COPARMEX","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"7","Planteamiento: “Cancelación de CFDI ¿Que (sic) sucede si se hace una cancelación de un CFDI con la clave 01 debiendo ser con la clave 2 cómo se corrige esto?”","Varios","2024","Respecto al planteamiento que antecede, si al enviar la solicitud de cancelación se seleccionó de manera incorrecta el motivo de cancelación 01, no es posible modificar el mismo. Sin embargo, en caso de que la operación subsista, se deberá emitir el comprobante con los datos correctos en donde se registre como clave de tipo de relación la “04” Sustitución de CFDI previos e incluyendo el folio fiscal del comprobante que lo sustituye. CONCANACO-SERVYTUR","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"8","Planteamiento: “CONFIRMAR SI EL SERVICIO DE AUTOTRANSPORTE DEDICADO ES APLICABLE PARA EL TRASLADO DE MERCANCÍAS POR VÍAS DE JURISDICCIÓN FEDERAL Planteamiento: El 27 de diciembre de 2022 fue publicado en el DOF la “Resolución Miscelánea Fiscal para 2023” en donde se incorpora la nueva regla 2.7.7.1.3 para regular la prestación del servicio del transporte dedicado. Esta nueva disposición no específica si la prestación del servicio para dedicados podrá ofrecerse para el arrendamiento o alquiler de unidades para movimientos en traslados locales, por carreteras de jurisdicción federal o en movimientos internacionales. Adicionalmente, tanto el “Instructivo de llenado del CFDI al que se le incorpora el Complemento Carta Porte”, y las “Preguntas Frecuentes de la Carta Porte”, ambas publicadas por el SAT, no aclaran del todo si el servicio de transporte dedicados podrá prestarse en traslados locales, por carreteras de jurisdicción federal o en movimientos internacionales, por lo que, se entendería que es para el de servicio de alquiler que el arrendatario desea trasladar por cualquier carretera. Cabe señalar, que el Apéndice 11 del “Instructivo de llenado del CFDI al que se le incorpora el Complemento Carta Porte” hace referencia de la regla 2.7.7.2.8 que regula el procedimiento de “Tramos de jurisdicción federal para el traslado de bienes y/o mercancías a través de autotransporte” se vincula con la regla 2.7.7.1.3, sin embargo, queda la duda. Por otro lado, el servicio dedicado también puede ofrecerse para el transporte aéreo, ferroviario y marítimo, en (sic) el cual es aplicable para traslados por vías federales. En este contexto, el presente es para confirmar ¿si el servicio de transporte dedicados podrá prestarse en traslados locales, por carreteras de jurisdicción federal o en movimientos internacionales?. Soporte documental:  RESOLUCIÓN MISCELANEA (sic) FISCAL PARA 2023. Emisión de CFDI con complemento Carta Porte en la prestación de Servicios Dedicados 2.7.7.1.3. Para los efectos del artículo 29, penúltimo párrafo del CFF y la regla 2.7.7.1.1., los contribuyentes que presten el servicio de transporte dedicado, mediante la asignación específica de una o más unidades vehiculares a un mismo cliente o contratante, podrán emitir un CFDI de tipo ingreso sin complemento Carta Porte que ampare la totalidad del servicio prestado, el cual deberá contener los requisitos establecidos en el artículo 29-A del CFF, en el que registren la clave del servicio correspondiente, de acuerdo con el “Instructivo de llenado del CFDI al que se le incorpora el Complemento Carta Porte”, que al efecto publique el SAT en su Portal. Posteriormente, el cliente o contratante deberá emitir un CFDI de tipo traslado al que se le incorpore el complemento Carta Porte, por cada viaje que realice y cuando implique un cambio de medio o modo de transporte, en el cual se deberá relacionar el folio fiscal del CFDI de tipo ingreso emitido por la prestación del servicio a que se refiere el párrafo anterior. CFF 29, 29-A, RMF 2023 2.7.1.8., 2.7.7.1.1. B. INSTRUCTIVO DE LLENADO DEL CFDI AL QUE SE LE INCORPORA EL COMPLEMENTO CARTA PORTE - AUTOTRANSPORTE http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/Instructivo_Com plementoCartaPorte_Autotransporte.pdf C. PREGUNTAS FRECUENTES DE LA CARTA PORTE http://omawww.sat.gob.mx/tramitesyservicios/Paginas/documentos/Preguntas_frecu entes_CartaPorte.pdf Propuesta de Solución: Que la autoridad aduanera competente emita un criterio a través del “Instructivo de llenado del CFDI al que se le incorpora el Complemento Carta Porte” o “Preguntas Frecuentes” con la finalidad de brindar mayor certeza a los transportistas y a las empresas que arriendan o alquilan el transporte terrestre.”","Varios","2024","Los prestadores de servicios de autotransporte terrestre de carga general y especializada en la modalidad de dedicado, así como sus clientes, pueden aplicar lo dispuesto en la regla 2.7.7.2.1. de la Resolución Miscelánea Fiscal (RMF) para 2023, publicada en el Diario Oficial de la Federación el 27 de diciembre de 2022, esto es, cuando realicen el transporte local de bienes o mercancías, sin que el traslado implique transitar por algún tramo de jurisdicción federal, podrán acreditar dicho traslado mediante la representación impresa, en papel o en formato digital, del CFDI de tipo ingreso o traslado, según corresponda, que contenga los requisitos establecidos en el artículo 29-A del Código Fiscal de la Federación, en el que registren la clave de producto y servicio de acuerdo con el “Instructivo de llenado del CFDI al que se le incorpora el Complemento Carta Porte”, que al efecto publique el SAT en su Portal, sin complemento Carta Porte. Asimismo, quienes realicen el transporte de bienes y/o mercancías a través autotransporte mediante vehículos de carga en la modalidad de dedicado, con características que no excedan los pesos y dimensiones de un camión tipo C2 de conformidad con la NOM-012-SCT-2-2017 o la que la sustituya, se entenderá que no transitan por tramos de jurisdicción federal, a que se refiere la Ley de Caminos, Puentes y Autotransporte Federal y su Reglamento, siempre que en su trayecto la longitud del tramo federal que se pretenda utilizar no exceda de un radio de distancia de 30 kilómetros, los cuales se computarán entre el origen inicial y el destino final, incluyendo los puntos intermedios del traslado, de conformidad con la regla 2.7.7.2.8. de la RMF. Bajo el citado contexto, la autoridad valorará la actualización de la pregunta y respuesta frecuente 47, así como los instructivos de llenado, a fin de facilitar el cumplimiento de la obligación. FNAMCP","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"9","Planteamiento: “Liquidación Simplificada Personas Morales. HECHOS DEL PLANTEAMIENTO Hemos observado que los asuntos relativos a la disolución simplificada de una sociedad, mediante la secretaria (sic) de economía en su portal y correos electrónicos oficiales, ""disolución y liquidación"" opción de “publica tu estructura accionaria” de la persona moral con lo dispuesto en el artículo 249 bis, fracciones iv, v y vii, de la ley general de sociedades mercantiles, Mediante “acuerdo de disolución y liquidación”. Una vez que la totalidad de los socios o accionistas han firmado el acta de disolución y liquidación, el sistema notificará que el acta de disolución y liquidación se ha publicado exitosamente y que la misma fue enviada para su inscripción en el registro público de comercio. Posteriormente el liquidador deberá publicar el “balance final”, agregando la e.firma de la persona moral y del liquidador. El liquidador publicará el “balance final” y se cancelará el folio de la sociedad en el registro público de comercio. PLANTEAMIENTO DE LA PROBLEMÁTICA Con respecto al planteamiento expuesto anteriormente, la autoridad no otorga respuesta en relación a esta problemática sobre el tiempo que debe tener la sociedad sin realizar actividades. En nuestra interpretación, no cabe la posibilidad de que dicho plazo sea de dos años (como el requisito de no expedir CFDI) porque según las disposiciones del RFC, si un contribuyente está en suspensión de actividades y cumple dos años, la autoridad lo activa inmediatamente, entonces, es imposible cumplir el requisito de estar suspendido por dos años. Es cierto, que los socios o accionistas deben estar al corriente de sus obligaciones fiscales y en ese tenor el Servicio de Administración Tributaria (SAT) debe manifestar cual es el incumplimiento fiscal. En este asunto, la autoridad no manifesta (sic) el incumplimiento fiscal de los socios o accionistas. Si el requisito de estar sin actividades necesariamente debe ser de dos años, ¿Cómo se resuelve la problemática para que el SAT no active en los mismos tiempos que realizó el trámite de disolución? SOLUCIÓN PROPUESTA Se solicita se agilice el tiempo de respuesta por parte de la autoridad, para que el contribuyente se encuentre en posibilidad de realizar y concluir este procedimiento en particular, así como los socios y accionistas pertenecientes a una persona moral no tengan incertidumbre ante sus obligaciones fiscales.”","Varios","2024","Debe tomarse en cuenta que el seguimiento y solución de los trámites de disolución simplificada que los contribuyentes ingresan a través del Portal www.gob.mx/Tuempresa de la Secretaría de Economía, es realizada por la propia Secretaría, tal y como se señala en la regla 2.5.17. Contribuyentes relevados de presentar el aviso de inicio de liquidación y el de cancelación en el RFC por liquidación total del activo, de la Resolución Miscelánea Fiscal vigente. No obstante, cuando la Secretaría de Economía informe al liquidador que existen incumplimientos en los requisitos del trámite, éste podrá acudir a la Administración Desconcentrada de Servicios al Contribuyente, previa cita, para recibir la información y orientación correspondiente, a fin de que el liquidador conozca cómo regularizar la situación fiscal de la empresa a liquidar y continúe con el trámite ante la Secretaria de Economía. De lo anterior se desprende que en términos de lo dispuesto en el artículo 249 Bis, fracción IV de la Ley General de Sociedades Mercantiles (LGSM), uno de los requisitos para poder apegarse a esta forma de disolución, es no haber realizado operaciones ni emitir facturas electrónicas durante los últimos dos años, es decir, no haber realizado operaciones, situación que no se refiere a encontrarse suspendido en el RFC durante dicho periodo, ya que se trata de cuestiones distintas. En ese sentido, para que opere el procedimiento de liquidación, el contribuyente debe encontrarse como activo en el RFC. COPARMEX","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
"10","Planteamiento: “Domicilio del (sic) los Trabajadores Hay trabajadores que se dieron de alta con el domicilio del patrón lo cual es correcto, pero con la versión 4.0 se les está solicitando el código postal del domicilio personal del trabajador. Que (sic) es lo que procede ya estamos considerando qué (sic) hay trabajadores que tienen otros ingresos empresariales o Resico (sic) y estos (sic) si tienen que tener el código postal de su negocio, pero en el caso de que solo es trabajador que poder hacer.”","Varios","2024","Al respecto del planteamiento es importante aclarar que para efectos de la versión 4.0 del CFDI, de conformidad con la reforma al artículo 29-A para 2022, el dato que se requiere para la emisión del CFDI es el código postal del domicilio fiscal del trabajador, es decir, el dato que se encuentra en las bases de datos del SAT, sin importar si se trata del domicilio del primer patrón, el personal del trabajador o incluso, de alguna entidad federativa distinta a la de la residencia o trabajo actual del trabajador. Es importante señalar que, el SAT ha puesto a disposición de los patrones la facilidad de obtener los datos fiscales de sus trabajadores, de conformidad con lo previsto en la regla 2.7.1.48 y la ficha de trámite 320/CFF “Solicitud de datos en el RFC de asalariados”. Por otro lado, el campo DomicilioFiscalReceptor, del nodo Receptor del CFDI, es requerido para registrar el código postal del domicilio fiscal del receptor del comprobante y no así el del domicilio personal. CONCANACO-SERVYTUR","/minutas/1 Minuta_Integrada_Primera_Reunion_Conjunta_2023.pdf","1 Minuta_Integrada_Primera_Reunion_Conjunta_2023"
